Název VŠ;Součást vysoké školy;Název programu;Typ programu;Forma studia;Doba studia;Název oboru;Jazyk výuky;Oprávnění konat rigorózní zkoušku;Komise;Akreditace udělena;Datum platnosti akreditace;Akreditace omezena;Číslo jednací;STUDPROG;AKVO
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Herectví alternativního divadla;Česky;NE;02/2010;ANO;31.05.2016;NE;11137/2010;B8212;8203R082
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Performerství;Česky;NE;03/2011;ANO;31.05.2016;NE;21736/2011;B8212;8203R087
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Režie - dramaturgie alternativního divadla;Česky;NE;02/2010;ANO;31.05.2016;NE;11137/2010;B8212;8203R083
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Scénografie alternativního divadla;Česky;NE;02/2010;ANO;31.05.2016;NE;11137/2010;B8212;8203R084
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Arts Management;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T051
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Authorial Acting;Anglicky;NE;03/2013;ANO;31.03.2021;NE;28241/2013;N8203;8203T045
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Directing of Alternative and Puppet Theatre;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T068
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Directing of Dramatic Theatre;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T055
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Stage Design;Anglicky;NE;05/2013;ANO;31.03.2021;NE;48769/2013;N8203;8203T058
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Stage Design in Alternative and Puppet Theatre;Anglicky;NE;03/2014;ANO;01.11.2022;NE;MSMT/24431/2014;N8203;8203T062
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;K;4;Dramatická výchova;Česky;NE;02/2012;ANO;30.11.2016;NE;16406/2012;B8216;8203R007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;K, P;3;Dramatická výchova;Česky;NE;01/2013;ANO;31.03.2021;NE;7481/2013;B8203;8203R007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Herectví alternativního a loutkového divadla;Česky;NE;02/2012;ANO;31.07.2018;NE;16406/2012;B8203;8203R043
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Herectví se zaměřením na autorskou tvorbu a pedagogiku;Česky;NE;02/2012;ANO;31.07.2018;NE;16406/2012;B8203;8203R045
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Produkce;Česky;NE;01/2012;ANO;31.05.2020;NE;6890/2012;B8203;8203R051
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Režie - dramaturgie alternativního a loutkového divadla;Česky;NE;02/2012;ANO;31.07.2018;NE;16406/2012;B8203;8203R053
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Režie - dramaturgie činoherního divadla;Česky;NE;01/2012;ANO;31.05.2020;NE;6890/2012;B8203;8203R066
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Scénografie;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;B8203;8203R058
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Scénografie alternativního a loutkového divadla;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;B8203;8203R062
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Teorie a kritika;Česky;NE;02/2012;ANO;31.07.2020;NE;16406/2012;B8203;8203R069
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Magisterský;P;4;Herectví alternativního a loutkového divadla;Česky;NE;01/2012;ANO;31.10.2016;NE;6890/2012;M8216;8203T043
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Magisterský;P;4;Herectví činoherního divadla;Česky;NE;01/2012;ANO;31.05.2020;NE;6890/2012;M8216;8203T044
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;K;2;Dramatická výchova;Česky;NE;02/2012;ANO;30.11.2016;NE;16406/2012;N8203;8203T007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;K;2;Dramatická výchova;Česky;NE;01/2013;ANO;31.03.2021;NE;7481/2013;N8203;8203T007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;K, P;3;Dramatická výchova;Česky;NE;02/2012;ANO;30.11.2016;NE;16406/2012;N8215;8203T007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Dramatická výchova;Česky;NE;01/2013;ANO;31.03.2021;NE;7481/2013;N8203;8203T007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Dramaturgie alternativního a loutkového divadla;Česky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T067
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Dramaturgie činoherního divadla;Česky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T070
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Herectví alternativního a loutkového divadla;Česky;NE;02/2012;ANO;31.07.2018;NE;16406/2012;N8203;8203T043
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;3;Herectví se zaměřením na autorskou tvorbu a pedagogiku;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;N8203;8203T045
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Herectví se zaměřením na autorskou tvorbu a pedagogiku;Česky;NE;01/2013;ANO;31.03.2021;NE;7481/2013;N8203;8203T045
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Produkce;Česky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T051
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Režie alternativního a loutkového divadla;Česky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T068
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Režie činoherního divadla;Česky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T055
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Scénografie;Česky;NE;01/2013;ANO;31.03.2021;NE;7481/2013;N8203;8203T058
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;3;Scénografie - film a televize;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;N8203;8203T059
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Scénografie alternativního a loutkového divadla;Česky;NE;03/2014;ANO;01.11.2022;NE;MSMT/24431/2014;N8203;8203T062
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Navazující magisterský;P;2;Teorie a kritika;Česky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T069
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Doktorský;K, P;4;Alternativní a loutková tvorba a její teorie;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;P8203;8203V073
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Doktorský;K, P;3;Autorské herectví a teorie autorské tvorby a pedagogiky;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;P8203;8203V074
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Doktorský;K, P;3;Scénická tvorba a teorie scénické tvorby;Česky;NE;02/2012;ANO;31.07.2016;NE;16406/2012;P8203;8203V075
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Doktorský;K, P;3;Teorie a praxe divadelní tvorby;Česky;NE;02/2012;ANO;31.07.2020;NE;16406/2012;P8203;8203V076
Akademie múzických umění v Praze;Filmová a televizní fakulta;Film, Television and Photography;Bakalářský;P;3;Photography;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R017
Akademie múzických umění v Praze;Filmová a televizní fakulta;Film, Television and Photography;Navazující magisterský;P;3;Cinema and Digital Media;Anglicky;NE;01/2012;ANO;31.05.2020;NE;6892/2012;N8217;8204T042
Akademie múzických umění v Praze;Filmová a televizní fakulta;Film, Television and Photography;Navazující magisterský;P;2;Cinematography;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8211;8204T048
Akademie múzických umění v Praze;Filmová a televizní fakulta;Film, Television and Photography;Navazující magisterský;P;2;Photography;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T017
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Animovaná tvorba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R001
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Audiovizuální studia;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R041
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Dokumentární tvorba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R004
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Fotografie;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R017
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Kamera;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R019
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Produkce;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R024
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Režie;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R025
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Scénáristika a dramaturgie;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R027
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Střihová skladba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R029
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Bakalářský;P;3;Zvuková tvorba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;B8204;8204R035
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Animovaná tvorba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T001
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Audiovizuální studia;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T041
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Dokumentární tvorba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T004
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Fotografie;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T017
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Kamera;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T019
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Produkce;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T024
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;3;Restaurování fotografie;Česky;NE;03/2012;ANO;31.07.2016;NE;28900/2012;N8218;8204T049
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Režie;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T025
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Scenáristika a dramaturgie;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T027
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Střihová skladba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T029
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Navazující magisterský;P;2;Zvuková tvorba;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;N8204;8204T035
Akademie múzických umění v Praze;Filmová a televizní fakulta;Filmové, televizní a fotografické umění a nová média;Doktorský;K, P;3;Teorie filmové a multimediální tvorby;Česky;NE;01/2014;ANO;01.06.2022;NE;6045/2014;P8204;8204V037
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Bakalářský;P;3;Dance Education;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8202;8202R003
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Bakalářský;P;3;Dance Theory;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8202;8202R015
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Bakalářský;P;3;Choreography;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8202;8202R001
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Bakalářský;P;3;Nonverbal and Comedy Theatre;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8202;8202R002
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Navazující magisterský;P;2;Dance Education;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8202;8202T003
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Navazující magisterský;P;2;Dance Theory;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8202;8202T015
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Navazující magisterský;P;2;Choreography;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8202;8202T001
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Navazující magisterský;P;2;Nonverbal and Comedy Theatre;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8202;8202T002
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Doktorský;K, P;3;Dance Theory;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;P8202;8202V015
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Doktorský;K, P;3;Choreography and Theory of Choreography;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;P8202;8202V016
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Dance;Doktorský;K, P;3;Nonverbal and Comedy Theatre and Theatre Theory;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;P8202;8202V017
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Bassoon;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R010
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Cello;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R088
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Clarinet;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R066
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Composition;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R080
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Conducting;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R005
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Double Bass;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R071
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Double Bass - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R109
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Flute;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R012
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;French Horn;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R074
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Guitar;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R073
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Harp;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R014
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Harpsichord;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R003
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Music Direction;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R038
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Music Management;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R036
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Music Theory;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R095
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Oboe;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R015
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Opera Direction;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R076
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Organ;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R084
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Percussion Instruments;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R001
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Percussion Instruments - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R107
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Piano;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R068
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Piano - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R108
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Saxophone - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R110
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Sound Production;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R092
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Trombone;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R077
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Trumpet;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R081
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Tuba;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R083
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Viola;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R086
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Violin;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R017
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Bakalářský;P;3;Voice;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;B8201;8201R090
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Bassoon;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T010
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Cello;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T088
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Clarinet;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T066
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Composition;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T080
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Conducting;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T005
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Double Bass;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T071
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Double Bass - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T109
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Flute;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T012
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;French Horn;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T074
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Guitar;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T073
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Harp;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T014
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Harpsichord;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T003
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Chamber Music;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T100
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Music Direction;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T038
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Music Management;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T036
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Music Theory;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T095
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Oboe;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T015
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Opera Direction;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T076
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Organ;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T084
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Percussion Instruments;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T001
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Percussion Instruments - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T107
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Piano;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T068
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Piano - Jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T108
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Saxofon - jazz;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T110
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Sound Production;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T092
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Trombone;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T077
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Trumpet;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T081
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Tuba;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T083
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Viola;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T086
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Violin;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T017
Akademie múzických umění v Praze;Hudební a taneční fakulta;Art of Music;Navazující magisterský;P;2;Voice;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6046/2014;N8201;8201T090
