id,isPartOf,name_isPartOf,isPartOf2,name_isPartOf2,EXPORT
ustav_organicke_chemie_a_biochemie,avcr,AV ČR,research,Věda a výzkum,"ustav_organicke_chemie_a_biochemie---Ústav organické chemie a biochemie|||Flemingovo nám. 2, 166 10 Praha 6|||http://www.uochb.cz/|||http://library.uochb.cas.cz/"
ustav_pristrojove_techniky,avcr,AV ČR,research,Věda a výzkum,"ustav_pristrojove_techniky---Ústav přístrojové techniky|||Královopolská 147, 612 64 Brno|||http://www.isibrno.cz/|||"
ustav_pro_ceskou_literaturu,avcr,AV ČR,research,Věda a výzkum,"ustav_pro_ceskou_literaturu---Ústav pro českou literaturu|||Na Florenci 3/1420, 110 15 Praha 1|||http://www.ucl.cas.cz|||http://www.ucl.cas.cz/cs/knihovna/elektronicky-katalog"
ustav_pro_hydrodynamiku,avcr,AV ČR,research,Věda a výzkum,"ustav_pro_hydrodynamiku---Ústav pro hydrodynamiku|||Pod Paťankou 30 / 5, 166 12 Praha 6|||http://www.ih.cas.cz/|||https://www.ih.cas.cz/knihovna/"
ustav_pro_jazyk_cesky,avcr,AV ČR,research,Věda a výzkum,"ustav_pro_jazyk_cesky---Ústav pro jazyk český|||Letenská 4, 118 51 Praha 1|||http://www.ujc.cas.cz/|||http://www.ujc.cas.cz/o-ustavu/knihovna.html"
ustav_pro_soudobe_dejiny,avcr,AV ČR,research,Věda a výzkum,"ustav_pro_soudobe_dejiny---Ústav pro soudobé dějiny|||Vlašská 9, 118 40 Praha 1|||http://www.usd.cas.cz/|||http://www.usd.cas.cz/knihovna/"
ustav_pudni_biologie,avcr,AV ČR,research,Věda a výzkum,"ustav_pudni_biologie---Ústav půdní biologie|||Na Sádkách 7, 370 05 České Budějovice|||http://www.upb.cas.cz/|||"
ustav_statu_a_prava,avcr,AV ČR,research,Věda a výzkum,"ustav_statu_a_prava---Ústav státu a práva|||Národní 18, 116 00 Praha 1|||http://www.ilaw.cas.cz/|||https://www.ilaw.cas.cz/sluzby-on-line-knihovna/aktuality.html"
ustav_struktury_a_mechaniky_hornin,avcr,AV ČR,research,Věda a výzkum,"ustav_struktury_a_mechaniky_hornin---Ústav struktury a mechaniky hornin|||V Holešovičkách 41, 182 09 Praha 8|||http://www.irsm.cas.cz/|||"
ustav_teoreticke_a_aplikovane_mechaniky,avcr,AV ČR,research,Věda a výzkum,"ustav_teoreticke_a_aplikovane_mechaniky---Ústav teoretické a aplikované mechaniky|||Prosecká 76, 190 00 Praha 9|||http://www.itam.cas.cz/|||http://www.itam.cas.cz/oddeleni/knihovna/"
ustav_teorie_informace_a_automatizace,avcr,AV ČR,research,Věda a výzkum,"ustav_teorie_informace_a_automatizace---Ústav teorie informace a automatizace|||Pod vodárenskou věží 4, 182 08 Praha 8|||http://www.utia.cas.cz/|||https://www.utia.cas.cz/cs/KN_"
ustav_termomechaniky,avcr,AV ČR,research,Věda a výzkum,"ustav_termomechaniky---Ústav termomechaniky|||Dolejškova 5, 182 00 Praha 8|||http://www.it.cas.cz/|||http://www.it.cas.cz/cs/lib"
ustav_zivocisne_fyziologie_a_genetiky,avcr,AV ČR,research,Věda a výzkum,"ustav_zivocisne_fyziologie_a_genetiky---Ústav živočišné fyziologie a genetiky|||Rumburská 89, 277 21 Liběchov|||http://www.iapg.cas.cz/|||"
galerie_vytvarneho_umeni_v_ostrave,galleries,Galerie,culture,Kultura,"galerie_vytvarneho_umeni_v_ostrave---Galerie výtvarného umění v Ostravě|||Poděbradova 1291/12, 702 00 Ostrava 1|||http://www.gvuo.cz/|||http://www.gvuo.cz/knihovna.htm"
moravska_galerie,galleries,Galerie,culture,Kultura,"moravska_galerie---Moravská galerie v Brně|||Husova 18, 662 26 Brno|||http://www.moravska-galerie.cz/|||"
knihovna_av_cr,libraries,Knihovny,culture,Kultura,"knihovna_av_cr---Knihovna AV ČR|||Národní 3, 115 22 Praha 1|||http://www.lib.cas.cz/|||"
moravska_zemska_knihovna,libraries,Knihovny,culture,Kultura,"moravska_zemska_knihovna---Moravská zemská knihovna|||Kounicova 65a, 601 87 Brno |||http://www.mzk.cz/|||"
narodni_knihovna,libraries,Knihovny,culture,Kultura,"narodni_knihovna---Národní knihovna ČR|||Klementinum 190, 110 00 Praha 1|||https://www.nkp.cz/|||"
narodni_lekarska_knihovna,libraries,Knihovny,culture,Kultura,"narodni_lekarska_knihovna---Národní lékařská knihovna|||Sokolská 54, 121 32 Praha 2|||http://www.nlk.cz/|||"
narodni_technicka_knihovna,libraries,Knihovny,culture,Kultura,"narodni_technicka_knihovna---Národní technická knihovna|||Technická 6, 160 80 Praha 6 - Dejvice|||http://techlib.cz/|||"
ministerstvo_obrany,ministries,Ministerstva,gov,Státní správa,"ministerstvo_obrany---Ministerstvo obrany|||Tychonova 1, 160 01 Praha 6 - Dejvice|||https://www.army.cz/|||"
ministerstvo_spravedlnosti,ministries,Ministerstva,gov,Státní správa,"ministerstvo_spravedlnosti---Ministerstvo spravedlnosti|||Vyšehradská 16, 128 10 Praha 2|||https://portal.justice.cz|||"
ministerstvo_zivotniho_prostredi,ministries,Ministerstva,gov,Státní správa,"ministerstvo_zivotniho_prostredi---Ministerstvo životního prostředí|||Vršovická 1442/65, 100 10 Praha 10|||https://www.mzp.cz/|||"
jihomoravske_muzeum_ve_znojme,museums,Muzea,culture,Kultura,"jihomoravske_muzeum_ve_znojme---Jihomoravské muzeum ve Znojmě|||Přemyslovců 129/8, 669 02 Znojmo|||http://www.znojmuz.cz/|||https://www.muzeumznojmo.cz/O-muzeu/Knihovna"
muzeum_brnenska,museums,Muzea,culture,Kultura,"muzeum_brnenska---Muzeum Brněnska|||Klášter 1, 664 61 Rajhrad|||https://www.muzeumbrnenska.cz|||http://muzeum.muzeumbrnenska.cz/36-knihovna-muzea-brnenska.aspx"
muzeum_vychodnich_cech,museums,Muzea,culture,Kultura,"muzeum_vychodnich_cech---Muzeum východních Čech v Hradci Králové|||Eliščino nábřeží 465, 500 01 Hradec Králové 1|||http://www.muzeumhk.cz|||"
narodni_muzeum,museums,Muzea,culture,Kultura,"narodni_muzeum---Národní muzeum|||Václavské nám. 68, 115 79 Praha 1|||http://www.nm.cz/|||"
narodni_technicke_muzeum,museums,Muzea,culture,Kultura,"narodni_technicke_muzeum---Národní technické muzeum|||Kostelní 1320/42, 170 00 Praha-Holešovice|||http://www.ntm.cz/|||http://www.ntm.cz/archiv-knihovna"
narodni_zemedelske_muzeum,museums,Muzea,culture,Kultura,"narodni_zemedelske_muzeum---Národní zemědělské muzeum|||Kostelní 44, 170 00 Praha 7|||http://nzm.cz/|||"
pamatnik_narodniho_pisemnictvi,museums,Muzea,culture,Kultura,"pamatnik_narodniho_pisemnictvi---Památník národního písemnictví|||Strahovské nádvoří 1/132, 118 38 Praha 1|||http://www.pamatniknarodnihopisemnictvi.cz/|||http://www.pamatniknarodnihopisemnictvi.cz/o-knihovne/"
severoceske_muzeum_v_liberci,museums,Muzea,culture,Kultura,"severoceske_muzeum_v_liberci---Severočeské muzeum v Liberci|||Masarykova 11, 460 01 Liberec 1|||http://www.muzeumlb.cz/|||http://www.muzeumlb.cz/?page=knihovna"
