id,isPartOf,name_isPartOf,isPartOf2,name_isPartOf2,EXPORT
urad_prumysloveho_vlastnictvi,null,Neziskové organizace,gov,Státní správa,"urad_prumysloveho_vlastnictvi---Úřad průmyslového vlastnictví|||Antonína Čermáka 2a, 160 68 Praha 6|||http://upv.cz/|||http://upv.cz/cs/sluzby-uradu/informacni-sluzby.html"
archiv_doc_jiri_soucek,personal_archive,Osobní archivy,other,Ostatní,"archiv_doc_jiri_soucek---Osobní archiv doc. RNDr. Jiřího Součka, DrSc.|||||||||"
archiv_ing_arch_jana_moucky,personal_archive,Osobní archivy,other,Ostatní,archiv_ing_arch_jana_moucky---Osobní archiv Ing. arch. Jana Moučky|||||||||
archip,private_uni,Soukromé vysoké školy,edu,Školství,"archip---Architectural Institute in Prague|||Františka Křížka 1, 170 00 Prague 7 |||http://www.archip.eu/|||"
prague_college,private_uni,Soukromé vysoké školy,edu,Školství,"prague_college---Prague College|||Polská 10, Vinohrady Praha 2|||http://www.praguecollege.cz/|||"
vysoka_skola_evropskych_a_regionalnich_studii,private_uni,Soukromé vysoké školy,edu,Školství,"vysoka_skola_evropskych_a_regionalnich_studii---Vysoká škola evropských a regionálních studií, o.p.s.|||Žižkova 6, 370 01 České Budějovice |||http://vsers.cz/|||https://vsers.cz/knihovna-prodej-publikaci/"
vysoka_skola_financni_a_spravni,private_uni,Soukromé vysoké školy,edu,Školství,"vysoka_skola_financni_a_spravni---Vysoká škola finanční a správní|||Estonská 500, 101 00 Praha 10|||http://www.vsfs.cz/|||http://www.vsfs.cz/?id=1875-knihovna"
vysoka_skola_manazerske_informatiky_a_ekonomiky,private_uni,Soukromé vysoké školy,edu,Školství,"vysoka_skola_manazerske_informatiky_a_ekonomiky---Vysoká škola podnikání a práva (Vysoká škola manažerské informatiky a ekonomiky)|||Vltavská 585/14, 150 00  Praha 5|||https://www.vspp.cz/|||https://www.vspp.cz/cs/kontakty/knihovna"
akademie_muzickych_umeni_v_praze,public_uni,Veřejné vysoké školy,edu,Školství,"akademie_muzickych_umeni_v_praze---Akademie múzických umění|||Malostranské nám. 12, 118 00 Praha 1|||http://www.amu.cz|||https://www.amu.cz/cs/vse-o-amu/knihovny/"
akademie_vytvarnych_umeni,public_uni,Veřejné vysoké školy,edu,Školství,"akademie_vytvarnych_umeni---Akademie výtvarných umění|||U Akademie 4, 170 22 Praha 7|||http://www.avu.cz/|||http://www.avu.cz/category/avu-menu/akademie/specializovan%C3%A1-pracovi%C5%A1t%C4%9B/knihovna"
